,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26
151,695,2,121,25,,29,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,nan
152,696,2,121,26,boca amarga,25,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
153,707,2,121,26,,5,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,null
154,708,2,121,17,,28,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan
155,709,2,121,18,,29,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan
156,710,2,121,19,,11,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
157,711,2,121,20,,13,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
158,712,2,121,21,,29,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,nan
159,713,2,121,22,,30,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,nan,nan,nan,4,nan,nan,nan,nan
160,714,2,121,23,,28,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,nan,nan,nan,nan,2,nan,nan,nan
161,715,2,121,24,,29,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,nan,nan,nan,nan,nan,3,nan,nan
162,716,2,121,25,,29,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,nan
163,717,2,121,26,boca amarga,25,2021-03-26 11:25:18,2021-03-26 11:25:18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
164,733,2,121,26,,5,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,null
165,734,2,121,17,,27,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan
166,735,2,121,18,,9,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
167,736,2,121,19,,11,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
168,737,2,121,20,,13,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
169,738,2,121,21,,28,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,nan,nan,2,nan,nan,nan,nan,nan
170,739,2,121,22,,27,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan
171,740,2,121,23,,27,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan
172,741,2,121,24,,30,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,nan,nan,nan,nan,nan,4,nan,nan
173,742,2,121,25,,28,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,nan
174,743,2,121,26,boca amarga,25,2021-03-29 11:34:13,2021-03-29 11:34:13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
175,542,2,121,26,,5,2021-03-15 09:30:07,2021-03-15 09:30:07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,null
176,543,2,121,17,,31,2021-03-15 09:30:07,2021-03-15 09:30:07,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,nan
177,544,2,121,18,,9,2021-03-15 09:30:07,2021-03-15 09:30:07,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
178,545,2,121,19,,11,2021-03-15 09:30:07,2021-03-15 09:30:07,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
179,546,2,121,20,,13,2021-03-15 09:30:07,2021-03-15 09:30:07,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
180,547,2,121,21,,31,2021-03-15 09:30:07,2021-03-15 09:30:07,nan,nan,nan,nan,nan,5,nan,nan,nan,nan,nan
